Referencia contrato,Objeto,Entidad,Entidad contratante,Importe licitación,Tipo contrato,Procedimiento adjudicación,Nº licitadores,Fecha formalización,Adjudicatario,Importe adjudicación,Nombre PDF,Url PDF,uri
10/2015EV,Transporte de lixiviados,Diputación de Cádiz,DIPUTACION CADIZ,17999.99,Servicios,menor,2,27/03/2015,Clemente Rodriguez,17999.99,27/03/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/45.csv
13/2015EV,Seguro respons. Civil I Jornada   comarcal de la bahía de cádiz,Diputación de Cádiz,DIPUTACION CADIZ,111.35,servicios,menor,1,07/04/2015,Allianz Compañía de seguros ,111.35,07/04/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/34.csv
12/2015EV,Seguro daños I jornada comarcal de la bahia de cádiz,Diputación de Cádiz,DIPUTACION CADIZ,185.76,servicios,menor,1,07/04/2015,Allianz Compañía de seguros ,185.76,07/04/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/33.csv
17/2015EV,Placa conmemorativa - acto deportistas destacados,Diputación de Cádiz,DIPUTACION CADIZ,280.99,Suministro,menor,4,10/04/2015,Sport Garrido SA,101.85,10/04/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/29.csv
24/2015EV,Colocación Barreras de Contención en paseo peatonal CA-5201 (Naveros),Diputación de Cádiz,DIPUTACION CADIZ,10966.49,obras,menor,3,13/04/2015,"GC Ingeniería y Obra Civil, S.L.",10858.64,13/04/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/41.csv
7/2015EV,"Soporte informático, tripticos, diplomas y plotter - acto deportistas destacados",Diputación de Cádiz,DIPUTACION CADIZ,1652.89,servicios,menor,4,13/04/2015,"Suministros y Materiales Impresos, S.L. (Micrapel)",942.07,13/04/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/30.csv
6/2015EV,Circuitos Diputación de Cádiz,Diputación de Cádiz,DIPUTACION CADIZ,17355.37,servicios,menor,6,13/04/2015,Sesca 09 SL,13600,13/04/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/28.csv
22/2015EV,Saneamiento Calle Huelva en Estella del Marqués,Diputación de Cádiz,DIPUTACION CADIZ,27024.79,obras,menor,3,15/04/2015,"Juan Jiménez Romero, S.L.",21355,15/04/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/17.csv
22/2015EV,"edición 500 ejemplares ""Farmaceutico Ilustrado""",Diputación de Cádiz,DIPUTACION CADIZ,4173.08,servicios,menor,5,15/04/2015,Linea Offset SL,3505.19,15/04/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/49.csv
19/2015EV,Ambulancia UVI movil con médico -Convivencias de Ciclismo 2015,Diputación de Cádiz,DIPUTACION CADIZ,400,servicios,menor,3,16/04/2015,"Asistencia Médica Gaditana, S.L.",400,16/04/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/6.csv
30/2015EV,Adquisicion de una carretilla elevadora,Diputación de Cádiz,DIPUTACION CADIZ,16314.05,Suministro,menor,3,16/04/2015,"Phytologic Dealer, S.L.",16200,16/04/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/74.csv
37/2015EV,"Estudio Geotécnico por deslizamiento en CA-9114 Ventas Nuevas PK 0,850",Diputación de Cádiz,DIPUTACION CADIZ,8099.17,servicios,menor,3,16/04/2015,geotecnica del sur,5326.55,16/04/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/72.csv
18/2015EV,Autobuses-Convivencias de Ciclismo 2015,Diputación de Cádiz,DIPUTACION CADIZ,1322.31,servicios,menor,3,17/04/2015,"Autocares Rico, S.A.",1454.55,17/04/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/5.csv
35/2015EV,Fiestas ludico acuaticas,Diputación de Cádiz,DIPUTACION CADIZ,16528,servicios,menor,4,17/04/2015,Ani-Mas SL,16528,17/04/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/70.csv
14/2015EV,Coord.Seg. Y Salud obra Colocación de barreras de conteción en paseo peatonal CA-5201 (Naveros),Diputación de Cádiz,DIPUTACION CADIZ,273.18,servicios,menor,4,17/04/2015,David Antonio Soto Alba,175,17/04/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/3.csv
24/2015EV,"edición 500 ejemplares de cada número ""Nº13 y Nº14 de la colección alumbre""",Diputación de Cádiz,DIPUTACION CADIZ,5415.39,servicios,menor,5,17/04/2015,Torculo ,4022.43,17/04/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/51.csv
23/2015EV,Glorieta en CA-5203 Pk 1.420 Vejer de la Frontera. Fase II,Diputación de Cádiz,DIPUTACION CADIZ,26,obras,menor,4,17/04/2015,"Aglomerados Andaluces, S.L.U.",26474.17,17/04/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/32.csv
20/2015EV,Adaptación GPA a la nueva ICAL,Diputación de Cádiz,DIPUTACION CADIZ,17990,servicios,menor,1,21/04/2015,Bonser (Aytos),17990,21/04/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/48.csv
22/2015EV,Adquisición de 12 fajas protección lumbar para la RR.MM. PUERTO,Diputación de Cádiz,DIPUTACION CADIZ,354,Suministro,menor,1,23/04/2015,"Jose Queralto Rosal, S.A.",354,23/04/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/52.csv
15/2015EV,Ambulancia UVI movil con médico y técnico - XX copa diputación escuelas de futbol,Diputación de Cádiz,DIPUTACION CADIZ,400,servicios,menor,3,24/04/2015,Semesur,400,24/04/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/35.csv
29/2015EV,"Edicion de 500 ejemplares de ""fotografias de Espera""",Diputación de Cádiz,DIPUTACION CADIZ,4081.73,servicios,menor,6,27/04/2015,Linea Offset SL,3268.41,27/04/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/63.csv
25/2015EV,Adquisición de 6 rebecas y 12 pares de calcetín blanco para la RR.MM. Cádiz ,Diputación de Cádiz,DIPUTACION CADIZ,97.32,Suministro,menor,1,27/04/2015,"Albariza moda laboral,S.L.",97.32,27/04/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/54.csv
24/2015EV,Adquisición de 12 pijamas sanitarios y 6 pares de zapatos sanitarios para la RR.MM. Cádiz ,Diputación de Cádiz,DIPUTACION CADIZ,358.8,Suministro,menor,1,27/04/2015,Rutesa suministro y serv.S.L.,358.8,27/04/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/53.csv
25/2015EV,Instalación de carpintería interior de madera para centro de Salud,Diputación de Cádiz,DIPUTACION CADIZ,34653.06,obras,menor,4,05/05/2015,"Pepín Jiménez Muebles de Estilo en Caoba, S.L.",23260.7,05/05/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/42.csv
23/2015EV,Congelador muestras CTA Ubrique,Diputación de Cádiz,DIPUTACION CADIZ,181.18,Suministro,menor,3,06/05/2015,"El Corte Ingles,S.A.",180,06/05/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/55.csv
25/2015EV,Impresión de 50 reglamentos orgánicos ,Diputación de Cádiz,DIPUTACION CADIZ,304.18,servicios,menor,4,13/05/2015,"Tórculo Comunicación gráfica, S.A.",304.18,13/05/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/59.csv
36/2015EV,"Lavadora, secadora, plancha y tabla de planchar",Diputación de Cádiz,DIPUTACION CADIZ,1214.87,Suministro,menor,6,18/05/2015,"eL Corte Ingles,S.A.",1029.88,18/05/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/73.csv
28/2015EV,Limpieza en el Castiilejo lote 2,Diputación de Cádiz,DIPUTACION CADIZ,3381.69,servicios,menor,6,18/05/2015,"Ferronol Serv. Int. De precisión, S.L",2900.9,18/05/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/62.csv
28/2015EV,Limpieza casa colores CEAG lote 1,Diputación de Cádiz,DIPUTACION CADIZ,1785.12,servicios,menor,6,18/05/2015,"Ferronol Serv. Int. De precisión, S.L",1379.16,18/05/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/61.csv
28/2015EV,Adquisición de 10 batas sanitarias para IP Fernando Quiñones,Diputación de Cádiz,DIPUTACION CADIZ,119.7,Suministro,menor,3,20/05/2015,Rutesa suministro y serv.S.L.,117,20/05/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/64.csv
27/2015EV,Impresión   de 5000 hojas de exámenes,Diputación de Cádiz,DIPUTACION CADIZ,558.4,servicios,menor,4,25/05/2015,Imprenta Bellido,285,25/05/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/60.csv
56/2015EV,Climatización-Refrigeración Dependencia para Centro-Respaldo de EPICSA en Planta Baja Edificio Roma,Diputación de Cádiz,DIPUTACION CADIZ,4850,obras,menor,1,27/05/2015,"Serviclima Xerez, S.L.",4750,27/05/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/84.csv
32/2015EV,Mantenimiento de vehículos Diputación Provincial de Cádiz (lote 1),Diputación de Cádiz,DIPUTACION CADIZ,1210,servicios,menor,4,28/05/2015,"Cabello Motor,SL",1089,28/05/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/66.csv
34/2015EV,Impresión de 100 libros de incidencia ,Diputación de Cádiz,DIPUTACION CADIZ,1239.67,servicios,menor,4,29/05/2015,"Micraper sum. Y materi impresos, S.L.",695,29/05/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/69.csv
27/2015EV,Material deportivo - iniciación padel sierra y la janda 2015,Diputación de Cádiz,DIPUTACION CADIZ,3867.77,Suministro,menor,4,29/05/2015,Sport Garrido SA,3439,29/05/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/40.csv
35/2015EV,Adquisición de 8 fajas para la RR.MM de El Puerto de Santa María,Diputación de Cádiz,DIPUTACION CADIZ,236,Suministro,menor,8,08/06/2015,"Jose Queralto Rosal, S.A.",236,08/06/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/71.csv
32/2015EV,Monteje y reparación de neumaticos de vehículos   (lote 2),Diputación de Cádiz,DIPUTACION CADIZ,1030.55,servicios,menor,4,09/06/2015,Antonio Virues Quintero,780,09/06/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/67.csv
58/2015EV,Construcción de estructura de madera laminada para cubierta del mercado de abastos,Diputación de Cádiz,DIPUTACION CADIZ,39900,obras,menor,3,09/06/2015,"Hermanos Castañeiras, S.L.",38400,09/06/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/85.csv
38/2015EV,Mejora de alumbrado público Polígono Industrial Entrevaguadas,Diputación de Cádiz,DIPUTACION CADIZ,8330,obras,menor,3,09/06/2015,Francisco Javier Luza Aparicio,8150,09/06/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/43.csv
41/2015EV,Mejora de alumbrado público Polígono Industrial El Barrial,Diputación de Cádiz,DIPUTACION CADIZ,6335.56,obras,menor,3,10/06/2015,Francisco Javier Luza Aparicio,4875,10/06/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/47.csv
Factura nº 101,Balones de Fútbol 7 personalizados. Cuero Sintético. Color azul y 4 dobles casquetes en blanco con logotipo,Diputación de Cádiz,Diputación de Cádiz,1852.00,Suministros,Contrato menor,3,09/07/2015,"DEPORTES PABELLÓN, S.L.",1852.00,09/07/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1811.csv
38/2015EV,Adquisición tubos de orina y tapones ,Diputación de Cádiz,DIPUTACION CADIZ,989.84,Suministro,menor,3,13/07/2015,"Roansa ,S.L.",989.84,13/07/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/76.csv
41/2015EV,Adquisición de vestuario para las Residencias de Mayores ,Diputación de Cádiz,DIPUTACION CADIZ,3388.43,Suministro,menor,1,04/08/2015,Rutesa suministros y serv..S.L.,3061.49,04/08/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/83.csv
39/2015ev,"Servicio de seguimiento, recogida, transporte y deposito en las instalaciones de la EDAR de San Fernando-Cadiz de los lixiviados del vertedero clausurado de Residuos Sólidos Urbanos de El Berrueco",Diputación de Cádiz,DIPUTACION CADIZ,17999.99,servicios,menor,4,04/08/2015,Clemente Rodríguez Tocino,17999.99,04/08/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/44.csv
41/2015ev,Depósito y custodia de documentos del SPRYGT,Diputación de Cádiz,DIPUTACION CADIZ,17993.6,servicios,menor,5,13/08/2015,"Sociedad de archivos de Andalucía, S.L.",10536.41,13/08/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/56.csv
66/2015EV,Refuerzo de firme CA-3110 (La INA I) p.k. 10-11,Diputación de Cádiz,DIPUTACION CADIZ,49999.99,obras,menor,3,17/08/2015,"Manuel Alba, S.A.",45500,17/08/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/90.csv
40/2015ev,"Lote 3: Productos de celulosa, aseo personal y bazar RR.MM:",Diputación de Cádiz,DIPUTACION CADIZ,3743.09,Suministro,menor,5,17/08/2015,"Ceamar Distribuciones, S.L.",3743.09,17/08/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/82.csv
40/2015ev,Lote 2: Productos de limpieza en cocina y comedor RR.MM.,Diputación de Cádiz,DIPUTACION CADIZ,1770.05,Suministro,menor,5,17/08/2015,Rutesa suministro y serv.S.L.,1770.05,17/08/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/81.csv
40/2015EV,Lote 1: Productos de lavandería industrial y lavado mecánico de vajillas RR.MM.,Diputación de Cádiz,DIPUTACION CADIZ,2310,Suministro,menor,5,17/08/2015,Rutesa suministros y serv..S.L.,2310,17/08/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/80.csv
43/15EV,Coordinación de seguridad y salud para la obra 1/2015 lote 4 Ahorro y eficiencia energética en instalaciones de alumbrado exterior en polígono industrial cortijo real Algeciras,Diputación de Cádiz,DIPUTACION CADIZ,950,servicios,menor,3,17/08/2015,SGS Tecnos S.A.,750,17/08/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/65.csv
40/2015EV,Coordinación de Seguridad y Salud Obra Centro de Transformación para suministro eléctrico en el Consultorio Médico de Bornos,Diputación de Cádiz,DIPUTACION CADIZ,450,servicios,menor,1,17/08/2015,"Tincasur Sur, S.L.",450,17/08/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/46.csv
70/2015EV,"Refuerzo de firme CA-8201 (Jimena-Puerto Galis) p.k. 0 a 1,8",Diputación de Cádiz,DIPUTACION CADIZ,49999.99,obras,menor,3,24/08/2015,"Eiffage Infraestructuras, S.A.",49350,24/08/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/145.csv
65/2015EV,Estabilización de taludes en la CA-9102 (de Olvera a la A-384),Diputación de Cádiz,DIPUTACION CADIZ,49999.99,obras,menor,3,24/08/2015,"Nupren, S.L.",46355.34,24/08/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/89.csv
64/2015EV,Señalización horizontal en varias CCPP,Diputación de Cádiz,DIPUTACION CADIZ,49586.78,obras,menor,3,24/08/2015,"Señalizaciones Ortega, S.L.",43044.8,24/08/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/88.csv
67/2015EV,Refuerzo de firme en la CA-9109 (Algodonales-Olvera) p.k. 13-14,Diputación de Cádiz,DIPUTACION CADIZ,49999.99,obras,menor,3,25/08/2015,"Ciucu, S.C.A.",42530.22,25/08/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/138.csv
69/2015ev,Refuerzo de firme CA-4105 (La Ina II) p.k. 6-8,Diputación de Cádiz,DIPUTACION CADIZ,49999.99,obras,menor,3,27/08/2015,"Aglomerados Andaluces, S.L.U.",45500,27/08/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/139.csv
71/2015ev,Refuerzo de firme CA-9200 (Los Ángeles-CA9021),Diputación de Cádiz,DIPUTACION CADIZ,49999.99,obras,menor,6,11/09/2015,"Construcciones Torres Reviriego, S.L.",49586.77,11/09/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/146.csv
42/2015EV,"Coordinación de seguridad y salud de obras del plan vías y obras año 2015, números de expedientes Obras 64, 65, 66, 67, 69, 70 y 71",Diputación de Cádiz,DIPUTACION CADIZ,3471.07,servicios,menor,4,11/09/2015,Carlos Jesús Sánchez García (SIP Consultores),2117.35,11/09/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/57.csv
Factura nº  a0110,"Actividades, Programa Escolar de Arborismo",Diputación de Cádiz,Diputación de Cádiz,400.00,Servicio,Contrato menor,3,20/09/2015,Entre Ramas AVENTURA,400.00,20/09/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1871.csv
46/2015EV,Limpieza Palacio y Edificio Roma ( 1 al 22/10/2015),Diputación de Cádiz,DIPUTACION CADIZ,17292.01,servicios,menor,1,29/09/2015,"Soldene, S.A.",17292.01,29/09/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/102.csv
Factura nº  a0111,"Actividades, Programa Escolar de Arborismo",Diputación de Cádiz,Diputación de Cádiz,400.00,Servicio,Contrato menor,3,30/09/2015,Entre Ramas AVENTURA,400.00,30/09/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1870.csv
Factura nº  a0112,"Actividades, Programa Escolar de Arborismo",Diputación de Cádiz,Diputación de Cádiz,400.00,Servicio,Contrato menor,3,01/10/2015,Entre Ramas AVENTURA,400.00,01/10/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1869.csv
Factura nº  a0113,"Actividades, Programa Escolar de Arborismo",Diputación de Cádiz,Diputación de Cádiz,400.00,Servicio,Contrato menor,3,02/10/2015,Entre Ramas AVENTURA,400.00,02/10/2015,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1868.csv
